	Feature	value
792	PROAV_>_VAFIN_>_NN	-0.008709070993249041
286	VVFIN_>_NN_>_ADV	0.008705402927815114
551	VAFIN_>_VAFIN_>_ADJD	-0.008686202246098727
147	VVFIN_>_VVFIN_>_NN	0.008672878074175407
249	KON_>_NN_>_CARD	-0.008649770381174973
144	VVFIN_>_VVFIN_>_NE	0.008631578871539036
19	VVFIN_>_VAFIN_>_KOUS	-0.008613717639942215
135	ADJA_>_APPR_>_NN	-0.008590278777206068
75	ADJD_>_APPR_>_NN	-0.008539953351632244
1813	APPR_>_PRF_>_ADV	0.008528034630002072
256	NN_>_VMFIN_>_VAINF	-0.008430202391433082
425	KON_>_NN_>_NN	0.008424493384242525
52	VVFIN_>_KON_>_VAFIN	0.008379318765082973
1740	NN_>_XY_>_XY	-0.008373511773321508
738	VAFIN_>_VVPP_>_PTKNEG	-0.00833713804288176
1967	VAFIN_>_VVIZU_>_APPR	-0.008279300253118772
785	VAINF_>_VVPP_>_ADV	-0.00819179531523067
142	VVFIN_>_VVFIN_>_KOUS	0.00813341892932954
71	NN_>_NN_>_KOKOM	-0.008132954157943392
295	VAFIN_>_VVPP_>_PRF	0.008053437671709428
61	VAFIN_>_NN_>_APPRART	-0.00801717090276783
517	VVINF_>_NN_>_PIAT	-0.007925461818544687
128	KON_>_NE_>_NE	0.00777424182010456
612	PROAV_>_VVFIN_>_NN	-0.00766475481904328
336	APPRART_>_NN_>_NE	0.007432015884020723
877	VAFIN_>_VVFIN_>_PPER	0.0074224734831914475
666	VVPP_>_VAFIN_>_NN	-0.007406911040746438
354	NN_>_APPR_>_KON	-0.007402925151483339
424	NN_>_CARD_>_CARD	-0.0072942656289013245
346	VVFIN_>_VVINF_>_APPR	0.007290917652893647
790	PROAV_>_VAFIN_>_KOUS	-0.007198544018564365
725	APPR_>_APPR_>_NN	0.007155573814698065
471	NN_>_VMFIN_>_VVINF	0.007138930601398778
1220	NN_>_APPR_>_PPER	0.007035877973881475
564	NN_>_NN_>_VAFIN	0.007007968275272432
317	KON_>_NN_>_NE	0.006912457088605708
1260	VVFIN_>_APPR_>_PRF	0.006778994944036038
1291	VVFIN_>_VVINF_>_KOUI	0.006603881541935734
587	KON_>_VVFIN_>_PROAV	0.006570504412692791
597	VVFIN_>_VMFIN_>_VAINF	-0.006548020392366266
379	NN_>_ADV_>_PTKNEG	0.006467248547716153
1622	KON_>_VVFIN_>_VVFIN	0.006413186592397847
200	KON_>_VVFIN_>_KON	0.006378301641662344
0	VMFIN_>_NN_>_CARD	-0.006283677890188956
489	KON_>_VVFIN_>_PTKVZ	0.006282341462030158
1238	NN_>_VVFIN_>_VVINF	0.006278254678016155
1357	VVFIN_>_VAINF_>_PTKZU	0.006222481280450097
155	APPR_>_KON_>_APPR	-0.006222397034558088
23	VAFIN_>_NN_>_KON	-0.006193848300373636
186	KON_>_VVINF_>_NN	-0.006191368095844358
584	VVFIN_>_VVINF_>_PRF	-0.006189225138489617
37	VVFIN_>_ADJD_>_ADV	0.006183984188181368
994	VAPP_>_VVPP_>_APPR	0.006180706071647663
161	VMFIN_>_NN_>_KON	-0.006139240562397746
211	VMFIN_>_VVFIN_>_APPR	-0.006132502410774554
74	VAFIN_>_ADJD_>_APPR	-0.00610603641653379
133	VMFIN_>_NN_>_ADV	-0.006031633626310652
494	VMFIN_>_VAINF_>_ADJD	-0.005989092984656429
824	VAINF_>_NN_>_APPR	-0.005978307003290963
1726	NN_>_VAINF_>_PRELS	-0.005974400305199265
265	ADJA_>_APPR_>_NE	0.005929078269759675
594	VVINF_>_NN_>_CARD	-0.005869339685836417
711	VAFIN_>_APPR_>_NE	0.005782118338619918
590	APPR_>_NN_>_PDS	0.005770507342566367
554	VVFIN_>_VMFIN_>_NN	-0.005746938343342858
983	VVPP_>_NN_>_CARD	-0.005743372167903494
363	NN_>_NE_>_ART	0.005732030065380734
