	Feature	value
8408	sind_VAFIN_>_verbunden_VVPP_>_mit_APPR	-0.0011439371336226904
12026	wurde_VAFIN_>_übernommen_VVPP_>_in_APPR	-0.0011389526397868994
1580	bei_APPR_>_Bearbeitung_NN_>_der_ART	-0.0011328968998595313
4812	in_APPR_>_Zeit_NN_>_dieser_PDAT	0.001132386184162054
3738	im_APPRART_>_Vergleich_NN_>_zur_APPRART	-0.0011303730656866602
4036	in_APPR_>_Erzählung_NN_>_der_ART	0.0011285424135386848
1641	bei_APPR_>_Untersuchung_NN_>_der_ART	-0.0011235020287651341
3963	in_APPR_>_Brief_NN_>_an_APPR	0.0011221108673917322
3011	gebracht_VVPP_>_zum_APPRART_>_Ausdruck_NN	0.0011200064125724896
6956	kann_VMFIN_>_werden_VAINF_>_verwendet_VVPP	-0.001119416433756971
10904	wird_VAFIN_>_Begriff_NN_>_der_ART	-0.0011177383526814193
4414	in_APPR_>_Moment_NN_>_dem_ART	0.0011172018684904891
4000	in_APPR_>_Diskussion_NN_>_der_ART	-0.0011160010246288802
5967	ist_VAFIN_>_geprägt_VVPP_>_von_APPR	0.0011110949758806577
7679	mit_APPR_>_Worten_NN_>_anderen_ADJA	-0.001108475276191236
4605	in_APPR_>_Sprachen_NN_>_den_ART	-0.001098893519988665
4366	in_APPR_>_Literatur_NN_>_der_ART	0.0010982673025725044
2704	für_APPR_>_Arbeit_NN_>_vorliegende_ADJA	-0.0010968660138691597
5024	ist_VAFIN_>_Beispiel_NN_>_ein_ART	-0.0010886240205296913
807	an_APPR_>_Stelle_NN_>_die_ART	0.001082457034637136
11821	wird_VAFIN_>_verwendet_VVPP_>_in_APPR	-0.0010815110058429902
10830	werden_VAINF_>_verwendet_VVPP_>_in_APPR	-0.0010804629134808124
4413	in_APPR_>_Moderne_NN_>_der_ART	0.0010797107495070844
5912	ist_VAFIN_>_für_APPR_>_ihn_PPER	0.0010713819315339567
4741	in_APPR_>_Version_NN_>_der_ART	-0.0010708601194511066
5525	ist_VAFIN_>_Verwendung_NN_>_die_ART	-0.00106936068313916
12449	zwischen_APPR_>_Ich_PPER_>_und_KON	0.0010692853093912792
3811	in_APPR_>_Analyse_NN_>_die_ART	-0.0010637486873536282
3819	in_APPR_>_Anlehnung_NN_>_an_APPR	-0.0010632417223335239
6468	ist_VAFIN_>_verstehen_VVINF_>_zu_PTKZU	0.0010617995527896146
7951	scheint_VVFIN_>_haben_VAINF_>_zu_PTKZU	0.0010506419564710588
8736	spielen_VVINF_>_Rolle_NN_>_eine_ART	-0.0010490323720742391
10482	werden_VAFIN_>_bezeichnet_VVPP_>_als_APPR	-0.0010353565053070968
804	an_APPR_>_Stelle_NN_>_anderer_ADJA	0.0010335750206641357
7702	mit_APPR_>_sich_PRF_>_selbst_ADV	0.0010322082998581142
12471	zwischen_APPR_>_Subjekt_NN_>_und_KON	-0.001032087956968974
4419	in_APPR_>_Mund_NN_>_den_ART	0.001026103695308776
8965	syntaktischen_ADJA_>_und_KON_>_semantischen_ADJA	-0.0010259611642678104
594	als_APPR_>_Beispiel_NN_>_für_APPR	-0.0010205242028525695
5388	ist_VAFIN_>_Satz_NN_>_der_ART	-0.001016713272477349
11319	wird_VAFIN_>_dargestellt_VVPP_>_als_APPR	0.0010108861144819395
7633	mit_APPR_>_Titel_NN_>_dem_ART	0.0010106612810975824
4866	in_APPR_>_nur_ADV_>_nicht_PTKNEG	0.0010104579512553967
1396	aus_APPR_>_Englischen_NN_>_dem_ART	-0.0010097662409946026
4337	in_APPR_>_Kunst_NN_>_der_ART	0.0010042637897618475
1226	auf_APPR_>_Suche_NN_>_der_ART	0.0009966211716303562
7454	mit_APPR_>_Bezug_NN_>_auf_APPR	-0.00099078367297293
6264	ist_VAFIN_>_nicht_PTKNEG_>_mehr_ADV	0.0009883141759814756
3921	in_APPR_>_Beschreibung_NN_>_der_ART	0.000984252865832996
11222	wird_VAFIN_>_ausgegangen_VVPP_>_davon_PROAV	-0.0009822244208820682
5825	ist_VAFIN_>_erwarten_VVINF_>_zu_PTKZU	-0.000978132191937306
3763	im_APPRART_>_als_KON_>_im_APPRART	-0.0009748326641469068
1195	auf_APPR_>_Seite_NN_>_einen_ADJA	0.0009730361660661396
4381	in_APPR_>_Lyrik_NN_>_der_ART	0.0009694829842864053
4785	in_APPR_>_Werken_NN_>_den_ART	0.0009691764877939794
4828	in_APPR_>_Zeitung_NN_>_der_ART	0.000965686816702581
346	Mitte_NN_>_Jahre_NN_>_der_ART	0.0009635392578071321
7774	nach_APPR_>_Krieg_NN_>_dem_ART	0.0009630621582441821
4788	in_APPR_>_Werken_NN_>_seinen_PPOSAT	0.0009615741589257176
10258	von_APPR_>_Welt_NN_>_der_ART	0.0009523748353969435
2804	für_APPR_>_Gesellschaft_NN_>_die_ART	0.00094767461007353
5553	ist_VAFIN_>_Welt_NN_>_die_ART	0.0009450291345362511
10281	von_APPR_>_sich_PRF_>_selbst_ADV	0.0009444284703443715
3231	gibt_VVFIN_>_Überblick_NN_>_einen_ART	-0.000944210050096491
687	als_APPR_>_und_KON_>_als_APPR	0.0009423330984848434
708	als_KON_>_im_APPRART_>_auch_ADV	-0.0009423195996478981
6869	kann_VMFIN_>_werden_VAINF_>_ausgegangen_VVPP	-0.0009412552851847881
4535	in_APPR_>_Roman_NN_>_seinem_PPOSAT	0.0009408223025698968
2936	für_APPR_>_Verhalten_NN_>_das_ART	-0.0009406286845052542
4803	in_APPR_>_Wörterbuch_NN_>_einem_ART	-0.0009394165602227595
41	Art_NN_>_und_KON_>_Weise_NN	0.0009376101922497541
4116	in_APPR_>_Fällen_NN_>_vielen_PIAT	-0.0009352704978545871
6306	ist_VAFIN_>_sind_VAFIN_>_dass_KOUS	-0.0009351923277057687
12115	zeigen_VVFIN_>_Ergebnisse_NN_>_die_ART	-0.0009321366050296338
4854	in_APPR_>_als_KON_>_in_APPR	-0.000932123897671409
250	Hälfte_NN_>_Jahrhunderts_NN_>_des_ART	0.0009300906515597772
1302	auf_APPR_>_Weise_NN_>_die_ART	0.0009269117732383464
11369	wird_VAFIN_>_eingegangen_VVPP_>_im_APPRART	-0.0009262417131120631
6690	kann_VMFIN_>_führen_VVINF_>_zu_APPR	-0.0009257904308028124
3639	im_APPRART_>_Jahrhundert_NN_>_19._ADJA	0.00092360449993435
3690	im_APPRART_>_Rahmen_NN_>_Untersuchung_NN	-0.0009200554236162055
9970	unter_APPR_>_Titel_NN_>_dem_ART	0.0009178872741502338
1578	bei_APPR_>_Auswertung_NN_>_der_ART	-0.0009165500249689894
4561	in_APPR_>_Schule_NN_>_der_ART	-0.0009158684756098241
1305	auf_APPR_>_Weise_NN_>_gleiche_ADJA	0.0009147619340081938
1646	bei_APPR_>_Verben_NN_>_den_ART	-0.0009143284428936951
5686	ist_VAFIN_>_bei_APPR_>_denen_PRELS	-0.0009142922704036923
1589	bei_APPR_>_Beschreibung_NN_>_der_ART	-0.0009137505332789046
10271	von_APPR_>_al._NE_>_et_NE	-0.0009125189499735038
6004	ist_VAFIN_>_gibt_VVFIN_>_es_PPER	-0.0009063007322182328
132	Ende_NN_>_Romans_NN_>_des_ART	0.0009049813449579719
391	Rahmen_NN_>_Studie_NN_>_der_ART	-0.0008963073466997575
12190	zeigt_VVFIN_>_ist_VAFIN_>_dass_KOUS	-0.0008959070394485626
7809	nach_APPR_>_Weltkrieg_NN_>_dem_ART	0.0008942443715381093
10210	von_APPR_>_Schülern_NN_>_den_ART	-0.0008936685965269266
