	Feature	value
1021	VAFIN_>_VVPP_OC_>_PPER_DA	0.005662525408272036
80	ADJD_>_APPR_MO_>_NN_NK	-0.005646241449222884
170	KON_>_NN_CJ_>_ADJA_NK	-0.005641396808301832
608	VVFIN_>_VVFIN_CJ_>_PRF_OA	0.00559181199765932
0	VMFIN_>_NN_SB_>_CARD_NK	-0.00558724202386923
598	NE_>_VVFIN_RC_>_APPR_MO	0.005571204793417492
205	KON_>_VVINF_CJ_>_NN_OA	-0.005519239940090565
69	VVFIN_>_NN_DA_>_PPOSAT_NK	0.005513798818292438
463	APPR_>_NN_NK_>_VVINF_RC	-0.005509595137741494
314	NE_>_KON_CD_>_NN_CJ	0.005488382503225428
799	VVFIN_>_NN_SB_>_NN_NK	-0.005469669174392201
762	NN_>_NN_AG_>_VAFIN_RC	0.005438418169526496
650	NN_>_PIAT_NK_>_ADV_MO	-0.005430872807630995
346	VVFIN_>_VAFIN_OC_>_NN_SB	-0.0054223873394656195
1763	NN_>_APPR_MNR_>_PPER_NK	0.005408847000851778
941	KON_>_VMFIN_CJ_>_VAINF_OC	-0.005397359493904181
767	APPR_>_NN_NK_>_PDS_AG	0.005364500719878272
28	VVPP_>_APPR_SBP_>_NN_NK	0.005275533199546197
173	KON_>_APPR_CJ_>_NN_NK	-0.005255271743519321
798	PROAV_>_VVFIN_RE_>_NN_SB	-0.005204757912254066
522	VVFIN_>_VVPP_MO_>_APPR_MO	0.005175951728049353
557	VVPP_>_APPR_MO_>_ADJD_NK	-0.00517462374713827
1986	VVFIN_>_VAINF_OC_>_PTKZU_PM	0.005167144329088886
275	VVFIN_>_VVINF_OC_>_NN_OA	0.005154592545302924
160	VAFIN_>_VAFIN_MO_>_KOUS_CP	-0.005135622597051589
24	VVFIN_>_VAFIN_MO_>_NN_SB	-0.005122995729943704
1789	NN_>_VVFIN_RC_>_VVINF_OC	0.005114742427960063
989	NN_>_NN_AG_>_NN_NK	-0.005072016638496168
460	NN_>_VVINF_RC_>_APPR_MO	-0.005062153030898828
883	VVPP_>_VAFIN_MO_>_NN_SB	-0.005056621384916055
226	VVPP_>_ADJD_MO_>_KON_CD	-0.005042337828505947
1071	VAFIN_>_NN_PD_>_KON_CD	0.0050399357426846305
1295	VVFIN_>_VVINF_OC_>_KOUS_CP	-0.00502515227843194
945	NN_>_VVFIN_RC_>_NN_DA	0.005024817305795867
276	VVINF_>_NN_OA_>_NN_AG	-0.005020389129428737
1133	APPR_>_NN_NK_>_VVPP_RC	0.004950545101517467
954	VAFIN_>_VAFIN_SB_>_NN_SB	-0.004918897628862768
153	VVFIN_>_VVFIN_MO_>_NE_SB	0.004894694915455561
1018	VVPP_>_VAFIN_MO_>_KOUS_CP	-0.0048916012938561015
583	NN_>_NN_AG_>_PDAT_NK	-0.004885069833152153
50	NE_>_KON_CD_>_NE_CJ	0.004882109289557493
2114	VAINF_>_NN_SB_>_ART_NK	-0.004853107724182067
999	KON_>_VVFIN_CJ_>_NN_DA	0.004816868129960418
496	ADV_>_NN_CC_>_KOKOM_CM	0.004799586541884555
235	VMFIN_>_VVFIN_MO_>_KOUS_CP	-0.004792707835812141
869	VVFIN_>_VAFIN_MO_>_PPER_SB	0.00476911447336815
1425	VAFIN_>_VAPP_OC_>_VVPP_OC	0.004767943890792334
284	VVFIN_>_NN_SB_>_NE_NK	0.004735887217362411
589	VMFIN_>_NN_SB_>_PIAT_NK	-0.004722380757684557
167	NN_>_NN_CJ_>_ADJA_NK	-0.004703833047019178
119	VVPP_>_NN_OA_>_NN_AG	0.004575089436123952
1543	VVPP_>_APPR_MO_>_KON_CD	-0.004571652736154832
2294	VVFIN_>_VVFIN_OC_>_KOUS_CP	-0.004494466980857776
575	KON_>_VVINF_CJ_>_PTKZU_PM	0.004487823579276205
